,dataset,records,accuracy,cohen_kappa,f1,f1_macro,balanced_accuracy
2,mesa,2053,0.8647858517620783,0.8048599061090324,0.8681423518304527,0.7924243078257287,0.8079053891569483
7,shhs,2651,0.8797603997029219,0.828324468308915,0.8809019425045372,0.7922193049967016,0.7976372713395399
9,dodh,25,0.8547563052469386,0.7928062876432032,0.8560975278252303,0.8161531644392903,0.8287771897462491
11,mros,586,0.8802724265165317,0.8024989993042879,0.8822017687646236,0.7419156800229989,0.748534763305144
13,cap,106,0.774385064089253,0.6965014847895139,0.7780922026705438,0.7180974004654616,0.71767819136583
14,dodo,56,0.8578703618281455,0.7946487180140628,0.8603835724450671,0.805925330507789,0.8241143210746914
16,sleep_edf_extended,197,0.8205005277788291,0.7576569275340905,0.8246314350017225,0.7768490931310736,0.7855863054182808
13,mass,115,0.849543440918543,0.786243531961288,0.847683609630658,0.811287134337093,0.810864570050401
