,Unnamed: 0,dataset,training_set_size,records in dataset,experiment_id,accuracy,cohen_kappa,f1,f1_macro,balanced_accuracy
0,0,mass,224,115,dafebcb3-7355-406f-8b92-d0310a6cdc42,0.8198535394629781,0.7472641287015584,0.8184757207503909,0.7801151300974879,0.7948018078280858
1,1,mass,112,115,3397a581-2cba-41f9-a2f9-8a65f11b44d5,0.8133984269053431,0.7349522283393187,0.8079011896290719,0.761723171460412,0.767326508394942
2,2,mass,224,115,ad501cbd-d86d-400e-a309-2d77cb91e390,0.8145285236416238,0.7388952368676429,0.8135317690308309,0.7728556924336922,0.7841951341294072
3,3,sleep_edf,112,197,85cf242f-a984-4e26-ac41-bb13ad04d74f,0.8053568499804449,0.7353942338875255,0.7990999533233516,0.7425584592048161,0.7579893846823305
4,4,dodh,56,25,b8dfbe57-cbcd-4301-9607-178919df612c,0.8621360797988808,0.8031515245874605,0.8639820943794079,0.8239601105862604,0.8406189276140505
5,5,mros,448,586,91a85e62-76a4-427a-bdee-8080ea6e455b,0.8479083492829785,0.7545360095732151,0.8586234899155594,0.7127138923153163,0.7575450100912089
6,6,mesa,448,2053,fe33790b-d2b3-4ba7-8d52-314297dd41a4,0.8285804144566765,0.7512833133214601,0.8275206445446173,0.7390361901518685,0.7475306855754018
7,7,cap,14,106,e3f7b7af-d2af-4086-91e2-b739f05d6fee,0.6753912370452873,0.5638697018662505,0.6788822606403668,0.6110973354434736,0.6129246700494594
8,8,dodo,896,55,222788df-68c1-4a84-8660-1005e73eddb0,0.8353933428507025,0.7693279725966377,0.8437283330295668,0.7883029189266886,0.8408120203290517
9,9,sleep_edf,896,197,d92b7c1b-8043-442f-b8b5-ffb11970fc92,0.8165768811845796,0.7519457354386867,0.8102402061320583,0.7557958831512911,0.7789637029270515
10,10,shhs,112,2651,72f4b9e3-3c58-45d3-860f-8fde5b195d91,0.8042237699676089,0.7245547239482069,0.8115893011664441,0.7074838683113888,0.7347240625253899
11,11,dodh,112,25,85e7493e-636b-4184-96fa-0a49aa04aa73,0.8585272889465575,0.8004792303046604,0.860808829858601,0.8246225713797253,0.8506293398834621
12,12,mass,28,115,d7c19785-b919-4518-bd56-bd664b133c2f,0.7943947201880481,0.7119742828120967,0.790533423931669,0.7452496173037003,0.7614976323019558
13,13,shhs,14,2651,10e81c58-f75d-4b3d-8453-7f4ef346f680,0.7148722491405209,0.5967691265750119,0.7183956438796381,0.6183716320259405,0.6320588110043435
14,14,sleep_edf,224,197,7b5dccdd-1c46-4cf6-9d5b-7e7c07743cb3,0.7958189823751309,0.7246790642450165,0.7893234297037129,0.7314571026514874,0.7609673891723149
15,15,dodh,112,25,78fd38bd-e0ae-452e-aa87-8602abcab1e0,0.8530938285621604,0.7929631909448078,0.8554890122216571,0.8202353720075916,0.8459042503532632
16,16,sleep_edf,56,197,a490e168-8344-4a8e-85ff-6cfd8e8a6120,0.8009369651245432,0.7292290632434006,0.790588873940561,0.7301091019987805,0.7482199766542795
17,17,sleep_edf,896,197,0ebe5a65-54c1-4c52-8b6a-e11851698501,0.8102771785069957,0.7441699965723063,0.8036496662683943,0.7483489998421831,0.7762328540160871
18,18,shhs,448,2651,2290e64f-38a5-4d91-b528-e9acf352dd8a,0.8499751962984132,0.7880012158456982,0.8563898292313801,0.7572791072315175,0.7851294756935537
19,19,mass,28,115,1ddda3b5-8e85-4d32-b5fe-0d321a816c21,0.7890968266883646,0.7048815764291932,0.7872136044025086,0.7453944207005547,0.7633882255412108
20,20,sleep_edf,896,197,481f9818-bfa3-4123-8de5-da30b7fc27ab,0.8095159994785293,0.743817156670063,0.8051323110492629,0.7519574251560229,0.7805859653744915
21,21,sleep_edf,112,197,d8c1b771-03cf-4867-9eb5-10d85d86bba0,0.8050162118516836,0.735067741840975,0.7955882474104506,0.7358061666904515,0.7548565030371261
22,22,mesa,56,2053,d66f350b-7411-49cf-bdc9-6ee9ebe9b432,0.7631516494859613,0.6609161335427256,0.7594463412487191,0.6526241521362203,0.6914370259033126
23,23,dodh,28,25,679e0312-2c66-4a34-aa6f-a0021937338e,0.8526072500202742,0.7914277678237732,0.8539267449128585,0.8106423174437124,0.8299065542713169
24,24,dodh,14,25,e1637ede-cb96-4741-b0be-5707ea6339d8,0.7940150839347985,0.7065472912637198,0.7959118642639749,0.7327260900476779,0.7473216584992793
25,25,mesa,14,2053,2a05fc04-7d0c-4904-8a28-bc80d34ded42,0.6851768222530455,0.5399734333095771,0.6731877378096796,0.5560951578125688,0.585629341124833
26,26,cap,14,106,ed871d5a-527e-4a4f-9e8a-68f9e1ad789f,0.6660940479112001,0.5527843251521487,0.6666956701369828,0.5990881170295023,0.6041632901354894
27,27,mros,56,586,4be6f9f0-2627-45b6-917a-39e4b1b6e468,0.7534590450382901,0.6204572702671513,0.776879631343275,0.5815969675982782,0.6389388876595511
28,28,dodo,56,55,289f0e4a-0f1d-49bb-a348-956e55448740,0.835130362912315,0.759527832297821,0.8371034566233116,0.7649394370214251,0.7705304748510713
29,29,shhs,896,2651,c9742ea9-ee9d-4012-b2af-bb6d741fcde9,0.8575226308218314,0.7977669808456231,0.8623755201979284,0.7638101032288558,0.7849004371439445
30,30,sleep_edf,14,197,96efb303-487d-4e12-8e15-26b392e9331b,0.7418677903519507,0.6503819500001377,0.7275449961142239,0.6658852626790818,0.6957497506055341
31,31,dodo,14,55,bd36c5fb-33bd-4a12-917b-f9e7c47544c6,0.767131264557818,0.6725642318127287,0.7739112902428729,0.7037876246518093,0.7425298615211869
32,32,cap,28,106,61a20afe-19c2-4b40-bd62-8ee6df24dbef,0.6936363807977649,0.5941257957565219,0.7029295014364667,0.6361037763527985,0.6484112923366558
33,33,mros,224,586,821dc2bc-f3f3-483e-910c-31be4497cd3d,0.8452687104136384,0.7449197167451163,0.8502600822915173,0.6966550266200392,0.7180156620835128
34,34,shhs,14,2651,60d6661b-4640-4446-a041-0f91dfc252d7,0.6734662677522625,0.5349041188522172,0.6746594918459207,0.5750712412526645,0.5800958246807869
35,35,dodo,14,55,b76d15be-f7bc-4987-8225-d2b119315a6f,0.7614584116011721,0.6503414919453974,0.762300728247702,0.6819437152906317,0.6867920391376334
36,36,sleep_edf,28,197,0950f6a8-1068-49ae-a674-cb546a300e52,0.7786567082581617,0.6997679084991558,0.7706674323684319,0.7097141924580814,0.7314458484711459
37,37,mass,112,115,a319c49a-1a22-4527-967a-ab0ac27aff10,0.7964288943133532,0.7152465708171755,0.7934306767607515,0.752604522229573,0.7732844052705582
38,38,dodh,896,25,c84cf9a3-0277-4cc6-b1c4-bdd4d0f910d5,0.8848430784202417,0.8346390404568724,0.8853619714033236,0.8447260189039641,0.8531387212204641
39,39,shhs,448,2651,c589822d-82b8-4af6-b176-1a87da6266bd,0.8468282561503586,0.7827576328441005,0.8537113524581618,0.7490040396032539,0.7729802345217154
40,40,mass,14,115,c489de8a-0efe-46b6-b746-1d399e6febfc,0.7038784919989151,0.5804274145946368,0.6940760571888914,0.6177988229958856,0.6287649044264166
41,41,sleep_edf,14,197,a39973a2-2766-4f1b-92a3-fd935789d22c,0.7059998570160941,0.6018806036097017,0.6961048785331261,0.6431378277071245,0.6627128742484463
42,42,mesa,224,2053,addd1db2-e19a-4dbf-95e5-b5f8747a70d8,0.8161053944496414,0.7332358281261564,0.8139271502657234,0.7145915970025873,0.7206821358212627
43,43,shhs,448,2651,60c09170-1a9b-4674-b501-1b7323960430,0.8502290528257503,0.7887933858932232,0.8575245622688799,0.7587799672639968,0.78929960242017
44,44,dodo,448,55,a78f5653-8a62-4d29-93cd-f9e0a7bea88d,0.8360320084153581,0.7719839062263418,0.846369488322451,0.7935220742151088,0.8586604488277878
45,45,dodh,14,25,ebb652a8-218b-4fe0-a500-88d6179a377e,0.8105182061471089,0.7274486136440028,0.8097413769093319,0.7460096826239722,0.7524303309087927
46,46,sleep_edf,56,197,b1412e4a-a469-4876-8168-f1a2202e0e2e,0.7981571897774918,0.7269061384665458,0.7904181931789724,0.7311090174914378,0.7541304599098234
47,47,shhs,56,2651,bcf95a23-8050-4ef0-babc-208a0881bae1,0.7892563010367224,0.7002293940162254,0.7900405094082023,0.6869631606554916,0.6957226438044158
48,48,dodh,896,25,7fac390d-4706-4cb7-8bbd-e4211f9a9657,0.8862622658340767,0.8377981796775797,0.8859697095183097,0.8453862358469225,0.8561366840930532
49,49,shhs,14,2651,142f643c-c9e5-43d0-8f70-fb29c3d05b06,0.7200821274624004,0.6039688155477205,0.7216004328398772,0.6271100301807457,0.6447302737668695
50,50,cap,896,106,a093d363-c309-47a8-a0f1-c5417d585477,0.7088044853038341,0.610824563775172,0.7134489224305249,0.6525066376745942,0.6628236265182164
51,51,shhs,224,2651,a2b7e5ef-c056-475a-9203-2a91f4bcd117,0.8430921297870594,0.7766460946164182,0.8492795058760515,0.7449500190441778,0.7625552732947484
52,52,dodh,224,25,07ea4899-8079-46bc-a903-318a9ff7c088,0.8780715270456573,0.8267791658915168,0.8793797053942498,0.8391822510316832,0.8578818258094982
53,53,dodh,56,25,7520bef9-059a-4e02-ba0e-d317c6164747,0.8588111264293244,0.8007734856929214,0.8601266231719521,0.8226337350090306,0.8461466599909716
54,54,mesa,14,2053,a3f3d13d-a75c-409c-b8b3-a600cccdb83c,0.6590409525959992,0.5152914754918818,0.6520080645422154,0.5297723651833101,0.5984609108916518
55,55,mesa,14,2053,90b10875-0def-44f3-8407-3827563b2172,0.6612121575187283,0.5169959659046028,0.6538350103430376,0.5410275244238161,0.6023394481076372
56,56,mass,896,115,387dffc1-7d9c-4b90-bc16-7dcd27c87d89,0.8259289395172227,0.7566958807302723,0.8244852187892505,0.7875475477399952,0.8056336345063329
57,57,sleep_edf,14,197,b524bf11-e6aa-4968-84a0-533fb3eef77e,0.7131616685380737,0.6142394606164999,0.7044177969470398,0.6469784901357766,0.6768095417752866
58,58,dodo,448,55,b8c6c3e2-4679-4c6a-a5b0-017dc12ff0dd,0.8458561875422647,0.7826705976527601,0.8544594172338346,0.7988102962447016,0.8476180583694998
59,59,shhs,28,2651,12045ba8-4516-4a25-ac3e-3627b345c240,0.7850970804611948,0.6866076329229012,0.7789272823999646,0.6549639775634769,0.6363006326648897
60,60,dodh,448,25,0ee9cc75-a2c9-4b7a-88a8-541aee47ae7b,0.8875598086124402,0.8402948139467996,0.8888358854304081,0.8512963258830728,0.8702971816202666
61,61,mesa,28,2053,8409371e-938b-42f5-be0a-4b40bd10249a,0.7618260394057949,0.6570207426849619,0.7598636861092097,0.6562468353521673,0.6874826899501251
62,62,mros,224,586,cf564008-aadf-4894-a1f1-bd2cb138434b,0.8429250443411097,0.7439946614521109,0.8502130117281732,0.6939913775491087,0.7296948768954108
63,63,cap,112,106,af4fe158-1a1e-40bd-8f98-b70e738afe1a,0.6965246446302834,0.5937443428715368,0.7005708315534089,0.6390771917191963,0.6480576056582134
64,64,dodo,56,55,89aae27b-d9ac-486f-aa36-725bf40eece4,0.8087572319483056,0.7356549552435574,0.8220075385939135,0.7648953092842646,0.8328591486333761
65,65,mros,112,586,108ca466-8036-422d-8f2a-37d5703b33c4,0.6990351286823949,0.5563364321939082,0.7420761826401507,0.5726428780056649,0.6646602025864652
66,66,cap,448,106,f6fd43d0-9e49-43b8-b381-d9e6c6ed8db7,0.7117588205312142,0.6172001438658159,0.7218869617680116,0.6609372225563341,0.6762649092920984
67,67,dodo,56,55,31289e8f-522e-4091-98c8-e196ab8acebc,0.8137162822150424,0.7402348684899338,0.8238124718696636,0.7669713510966536,0.8236493213249121
68,68,cap,896,106,a99e9e5b-52ea-4307-828e-9ebae25fe703,0.6923243916712287,0.5902133196176989,0.697902216051577,0.6404871673943618,0.6569402058089457
69,69,dodh,28,25,904df38e-5d09-4a05-ace7-6fb75764499f,0.8367934474089692,0.7680570393705012,0.8379597391601292,0.7961668864522256,0.8138269065769066
70,70,mesa,56,2053,c1803348-70ce-4e8e-8a4a-b3db9d585a23,0.7867131014206915,0.6912253606154861,0.781025765469725,0.6727750311346092,0.6926123407497139
71,71,mros,14,586,bf5db6da-dc09-4466-8e8a-c4575e3a3ac6,0.6319786548803722,0.4390175419522436,0.6650041193473955,0.4601152532803828,0.5377585203583025
72,72,cap,448,106,9fba1c4c-de2d-4b51-85cb-cabf527e334b,0.6893983727559323,0.5836601622703568,0.6919859779875943,0.6356053700323872,0.6485501274943177
73,73,shhs,896,2651,0766a687-916d-4c91-8a9d-495c43c0b5cd,0.8553473918050584,0.7952940862419797,0.8615274617284403,0.7627897717492882,0.7898943703443313
74,74,dodo,112,55,a52eba08-47a9-4e44-a3e6-6afc2b1deee6,0.8346607558794801,0.7670098495433426,0.8420502396798216,0.7845541957992951,0.8311260272289085
75,75,dodo,14,55,3156b9be-7a66-4a65-b98c-bd662b3e734e,0.7918701630475617,0.6947571008831187,0.7928810965519596,0.7180498507677309,0.7199046943236642
76,76,mros,224,586,63b8eaa5-ad5d-4fd7-86c4-5594e8bc849f,0.8458190005765989,0.7486708684063819,0.8521721629427823,0.6982560519925864,0.7280818997941064
77,77,sleep_edf,448,197,e0179e83-2148-446c-91c7-379db5084ce1,0.8052643309825097,0.7364291721213829,0.7960546597630853,0.7364540886777963,0.7636004003140429
78,78,mros,112,586,1426b319-3434-4da2-842f-c27027614b66,0.8314325302604779,0.7226287812434161,0.8347648952415802,0.6614475203079518,0.686066802888653
79,79,sleep_edf,28,197,70bceb63-2609-464a-92fb-681a828502b4,0.7903056911799957,0.7127082229154278,0.7799616779521203,0.7165318254532038,0.7246905964508776
80,80,mass,896,115,79fedb32-23fd-4e60-92aa-077a4a8c4deb,0.8264804267245276,0.7569727747501059,0.8236017564038738,0.7845376992543895,0.8012586977436407
81,81,mros,896,586,ecbc0d12-d577-4f62-a5f2-ea4fa6d2a84b,0.8642000074541297,0.7772854688211042,0.869026656516297,0.7258382400280221,0.7505239101559216
82,82,dodh,224,25,5ac502d1-b9f0-4464-bb91-8a062b0ee6d3,0.8796934555186117,0.8293627960999448,0.8808666678080039,0.8451057108000498,0.8642256735757972
83,83,sleep_edf,448,197,84751fb5-6d67-4ba4-ae4a-2783a05966f5,0.8081618577814785,0.7408912669210082,0.8011142698572199,0.7437504901961659,0.7704507719871889
84,84,cap,28,106,a03ea87f-06ce-4419-9b8f-553d654b3491,0.6750891963830631,0.56443210270544,0.675603496616944,0.6077399575683823,0.6132134920567458
85,85,dodh,14,25,1b0d9a7a-e385-4f48-8c1b-1e90d9a1ffe4,0.7907306787770659,0.6965554321242831,0.7877534797428066,0.727497024966515,0.7291625472155153
86,86,mesa,224,2053,3d37baf9-ef96-4e22-897c-ffa1be0fdd43,0.8178845229262958,0.7365010217047141,0.8175304234844842,0.7235106009258071,0.7396210888631826
87,87,shhs,56,2651,74faf440-3eb2-4404-a9be-9e2929d9e1ab,0.7886878763218549,0.7007601347011472,0.7921570973285869,0.6934144189421161,0.7083224393317245
