,dataset,records,accuracy,cohen_kappa,f1,f1_macro,balanced_accuracy
2,mesa,2053,0.869177799180057,0.810433631071777,0.871323879505445,0.795051253572405,0.80302955143949
7,shhs,2651,0.885762360721003,0.83686068925171,0.886727640275079,0.800349784441402,0.805988052362207
9,dodh,25,0.883058957099992,0.833518625488476,0.883743419206969,0.850900459747594,0.86500585222851
11,mros,586,0.886463738947608,0.812390264520635,0.888364585991174,0.756440747182144,0.761369291361532
13,mass,115,0.850619293011482,0.792422624944081,0.852450677661118,0.823184340221503,0.842742170650518
14,cap,106,0.792762350631454,0.722413793627073,0.796412267533626,0.737643273871017,0.742177999728467
15,dodo,56,0.874790117534181,0.819608473079607,0.877233295314226,0.82653489467531,0.847141281188271
17,sleep edf,197,0.835610562305237,0.778252719584121,0.839181373571829,0.7960873442241,0.806376803210448
