,dataset,records,accuracy,cohen_kappa,f1,f1_macro,balanced_accuracy
0,cap,106,0.773224095293829,0.693533029523592,0.774706291194476,0.711675675174664,0.704879428865925
2,mesa,2053,0.864785851762078,0.804859906109032,0.868142351830453,0.792424307825729,0.807905389156948
7,shhs,2651,0.879760399702922,0.828324468308915,0.880901942504537,0.792219304996702,0.79763727133954
9,dodh,25,0.854756305246939,0.792806287643203,0.85609752782523,0.81615316443929,0.828777189746249
11,mros,586,0.880272426516532,0.802498999304288,0.882201768764623,0.741915680022999,0.748534763305144
14,dodo,56,0.857870361828145,0.794648718014063,0.860383572445067,0.805925330507789,0.824114321074691
16,sleep edf,197,0.820500527778829,0.757656927534091,0.824631435001722,0.776849093131074,0.785586305418281
13,mass,115,0.849543440918543,0.786243531961288,0.847683609630658,0.811287134337093,0.810864570050401
